id,calories,proteins,fat,carbohydrate,name,suitable for diabetes,glucose
1,280.0,9.2,28.4,0.0,Abon,1,0.0
2,513.0,23.7,37.0,21.3,Abon haruwan,1,210.87000000000003
3,0.0,0.0,0.2,0.0,Agar-agar,1,0.0
4,45.0,1.1,0.4,10.8,Akar tonjong segar,1,106.92000000000002
5,37.0,4.4,0.5,3.8,Aletoge segar,1,37.62
6,85.0,0.9,6.5,7.7,Alpukat segar,1,76.23
7,96.0,3.7,0.6,19.1,Ampas kacang hijau,1,189.09
8,414.0,26.6,18.3,41.3,Ampas Tahu,1,408.87
9,75.0,4.1,2.1,10.7,Ampas tahu kukus,1,105.92999999999999
10,67.0,5.0,2.1,8.1,Ampas tahu mentah,1,80.19
11,184.0,18.8,14.0,0.0,Anak sapi daging gemuk segar,1,0.0
12,174.0,19.6,10.0,0.0,Anak sapi daging kurus segar,1,0.0
13,190.0,19.1,12.0,0.0,Anak sapi daging sedang segar,1,0.0
14,99.0,4.6,1.0,18.0,Andaliman segar,1,178.20000000000002
15,25.0,1.6,0.2,5.3,Andewi,1,52.47
16,30.0,0.5,0.2,6.8,Anggur hutan segar,1,67.32000000000001
17,354.0,16.4,31.5,0.0,Angsa,1,0.0
18,126.0,3.4,7.9,10.3,Anyang sayur,1,101.97000000000001
19,58.0,0.3,0.4,14.9,Apel,1,147.51
20,57.0,0.5,0.4,12.8,Apel malang segar,1,126.72000000000001
21,37.0,0.8,0.5,8.3,Arbei,1,82.17
22,113.0,0.9,7.2,11.2,Ares sayur,1,110.88
23,102.0,1.0,0.2,24.1,Arrowroot segar,1,238.59000000000003
24,277.0,2.4,25.0,10.7,Arwan sirsir,1,105.92999999999999
25,75.0,0.2,1.1,16.1,Asam kandis segar,1,159.39000000000004
26,239.0,2.8,0.6,62.5,Asam masak di pohon,0,618.75
27,135.0,0.8,0.4,32.1,Asam payak segar,1,317.79
28,261.0,0.9,1.6,63.3,Asan kandis kering,0,626.67
29,98.0,3.9,2.6,14.8,Asinan Bogor sayuran,1,146.52
30,302.0,18.2,25.0,0.0,Ayam,1,0.0
31,297.0,35.9,15.2,1.6,Ayam  goreng Kentuckysayap,1,15.840000000000002
32,270.0,32.3,11.2,9.9,Ayam ampela goreng,1,98.01
33,75.0,13.8,1.9,0.7,Ayam dideh/darah segar,1,6.93
34,295.0,34.0,16.0,1.5,Ayam goreng church texa sayap,1,14.850000000000001
35,338.0,35.2,20.6,0.4,Ayam goreng church texas dada,1,3.9600000000000004
36,275.0,37.4,12.2,1.3,Ayam goreng kalasan paha,1,12.870000000000001
37,298.0,34.2,16.8,0.1,Ayam goreng kentucky dada,1,0.9900000000000001
38,286.0,32.1,16.1,1.1,Ayam goreng Kentucky paha,1,10.890000000000002
39,295.0,39.2,13.6,1.0,Ayam goreng mbok berek dada,1,9.9
40,287.0,31.0,15.7,1.7,Ayam goreng paha,1,16.830000000000002
41,246.0,37.9,9.0,0.7,Ayam goreng pasundan dada,1,6.93
